model,df_len,epochs,seq_length,batch_size,learning_rate,hidden_size,rnn_layers,rnn_dropout,fc_dropout,conv_layers,kss,val_accuracy,time
lstm_fcn_class,199961,20,40,16,1e-06,200,2,0.2,0.0,"[128, 256, 128]","[3, 3, 3]",0.54,1055.4056091308594
lstm_fcn_class,199961,20,40,128,1e-06,100,8,0.4,0.4,"[64, 128, 64]","[3, 3, 3]",0.46,502.90520572662354
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.71,894.3125460147858
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.4,"[256, 512, 256]","[5, 3, 3]",0.55,903.4827201366425
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.42,816.3224639892578
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.62,978.0297870635986
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.54,1462.825749874115
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.58,1057.8485383987427
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.51,1219.2057583332062
lstm_fcn_class,199961,20,30,16,0.0001,50,4,0.4,0.0,"[256, 512, 256]","[5, 3, 3]",0.44,619.7389249801636
lstm_fcn_class,199961,20,30,16,0.0001,100,2,0.6,0.0,"[256, 512, 256]","[5, 3, 3]",0.7,991.5466711521149
lstm_fcn_class,199961,20,30,16,0.0001,100,2,0.6,0.0,"[256, 512, 256]","[5, 3, 3]",0.51,1351.281536102295
lstm_fcn_class,199961,20,30,16,0.0001,100,2,0.6,0.0,"[256, 512, 256]","[5, 3, 3]",0.45,901.171228647232
