dataset,data_size,model,seq_length,buckets,dif_all,TI,index,bin_accuracy
twelve,9945,mini_rocket,30,12,True,True,30min,0.4874371859296482
twelve,9968,mini_rocket,30,5,False,False,,0.485456369107322
twelve,9968,mini_rocket,30,13,False,False,30min,0.5035105315947843
twelve,9945,mini_rocket,30,9,True,True,,0.528643216080402
twelve,9945,mini_rocket,30,1,False,True,,0.4944723618090452
twelve,9968,mini_rocket,30,10,False,False,30min,0.485456369107322
twelve,45362,mini_rocket,30,10,True,False,1min,0.5051282051282051
twelve,45362,mini_rocket,30,13,False,False,,0.5076923076923077
twelve,45362,mini_rocket,30,7,False,False,,0.49230769230769234
twelve,45362,mini_rocket,30,9,False,False,1min,0.5256410256410257
twelve,45362,mini_rocket,30,2,False,False,,0.5487179487179488
twelve,45341,mini_rocket,30,8,False,True,,0.4205128205128205
twelve,45341,mini_rocket,30,9,True,True,,0.45897435897435895
twelve,45362,mini_rocket,30,1,True,False,1min,0.5384615384615384
twelve,45341,mini_rocket,30,12,True,True,1min,0.541025641025641
twelve,45341,mini_rocket,30,2,False,True,,0.4948717948717949
twelve,45362,mini_rocket,30,4,False,False,,0.5230769230769231
twelve,45341,mini_rocket,30,15,True,True,1min,0.5
twelve,45341,mini_rocket,30,5,True,True,1min,0.48717948717948717
